Alloys,k,vm,tm,vac,delta,delta_chi,delta_s_mix,delta_h_mix,Class
Mg54Cu26.5Ag8.5Gd11,73.88499999999999,12.506,1137.7556000000002,6.029999999999999,8.607623736283454,0.29574008436463256,9.453025198747426,-12.24707,0
Mg1Nb1,108.0,12.4,1836.65,3.5,1.6949152542372836,0.14500000000000002,5.762823676963555,43.3,0
Ta1Th1,126.5,15.350000000000001,2656.65,11.5,10.76923076923077,0.09999999999999998,5.762823676963555,26.0,0
Be0.4Co0.6,159.0,6.02,1684.9500000000003,6.199999999999999,11.948730452600874,0.15186836405255696,5.595417017303138,-7.968,0
Be1Fe1,149.0,6.05,1685.65,5.0,14.285714285714285,0.13,5.762823676963555,-8.5,0
Be0.48Cu0.52,134.72,6.092,1454.9124000000002,6.680000000000001,12.427856713230648,0.16486794715771763,5.75617070217411,-2.496,0
Be1Cr1,144.5,6.115,1870.15,4.0,14.285714285714285,0.04499999999999993,5.762823676963555,-13.5,0
Be1Ru1,175.0,6.65,2083.15,5.0,10.63829787234043,0.31500000000000006,5.762823676963555,-7.3,0
As1Th1,36.5,16.45,1556.65,9.5,22.033898305084747,0.44000000000000006,5.762823676963555,-139.4,0
Hf1Th1,79.5,16.7,2264.65,11.0,7.462686567164178,0.0,5.762823676963555,9.5,0
Al0.5B1Co1Cr1Cu1Fe1Ni1,182.46153846153848,6.819999999999999,1794.1930769230771,7.461538461538462,14.650223324505065,0.12913916167035885,16.0054506424957,-26.28639053254437,0
Co1Cu0.097Fe1Ni1Ti0.097,172.55886036318097,6.924514715090796,1761.9409016906698,8.908891671884785,1.7366576127817983,0.06581787055509201,10.83297542211335,-4.9249172975785465,0
Co0.56Cr0.44,170.64000000000001,6.933200000000001,1949.4300000000003,7.6800000000000015,1.8089903274039099,0.10920512808471952,5.702818377086401,-6.7020800000000005,0
Al0.5B0.6Co1Cr1Cu1Fe1Ni1,173.37704918032787,6.965573770491803,1757.7368852459017,7.754098360655738,11.969592226981081,0.12348300125536517,15.92420678636694,-20.270894920720245,0
Co1Cu1Fe1Ni1Sn0.04,165.67326732673268,6.968316831683167,1653.7248514851485,9.544554455445546,1.7031284530949315,0.031675432223854175,11.87334107302546,6.878737378688364,0
Cr0.56Ni0.44,168.36,6.952800000000001,1981.2700000000004,7.760000000000001,1.8011137367185526,0.12409673645990857,5.702818377086401,-9.3632,0
Co1Cu0.165Fe1Ni1Ti0.165,170.5960960960961,7.0031531531531535,1757.387927927928,8.85135135135135,1.743784179128802,0.07931473863476846,11.486035734044762,-6.72132853574295,0
Co1Cr2Fe1Ni1,169.39999999999998,6.9719999999999995,1933.5500000000002,7.800000000000001,1.7749925672341893,0.10759182125050214,11.075732575883858,-6.768000000000001,0
Co1Cr1Fe1Nb0.103Ni1,171.73117231294174,7.005215695832319,1893.947221545211,8.168413356080917,1.9849771648070895,0.10148789936057748,12.211427949060575,-8.353814454496687,0
Al1C1.5Co1Cr1Fe1Ni1,125.23076923076923,7.012307692307692,2388.8530769230765,6.461538461538462,23.170217399907457,0.3420197578984281,14.784225757784743,-70.88284023668639,0
Cr1Cu0.7Fe1Ni1,163.78378378378378,6.999999999999999,1802.6727027027025,8.567567567567567,1.8095278620790707,0.10170927789362225,11.438495865374,4.371073776479181,0
Co1Cu1Fe1Ni1Sn0.07,164.87960687960688,7.037100737100737,1644.4520147420146,9.577395577395576,1.7809348764554815,0.03227756936483791,12.050137525795027,6.427808196849965,0
Co1Cr1Cu2Fe1Mn1Ni1,155.0,7.031428571428572,1674.6128571428571,8.857142857142858,1.804219591217577,0.1316767842491761,14.531769415704694,6.097959183673471,0
Al1Cu0.2Li0.5Mg1Zn0.5,58.75,11.428125,844.1684375,4.28125,7.503675996279183,0.25978036847258107,12.30761807093722,-5.933593749999999,0
Co1Cr1Fe1Nb0.155Ni1,171.72202166064983,7.0527075812274385,1904.6626353790616,8.128760529482552,2.0575953516554875,0.10363100093899563,12.419949114923368,-9.544819357015532,0
Cr1Cu1Fe0.5Mn0.5Ni1,155.625,7.043749999999999,1732.8049999999998,8.625,1.8181818181818132,0.13509256086106294,12.966352777616104,4.737500000000001,0
Cr2Cu2Fe2Mn1Ni2,157.11111111111111,7.050000000000001,1741.5100000000002,8.555555555555555,1.8032806270159578,0.12798533866650602,13.145208483399971,5.106172839506172,0
